PARAMETER,BASELINE_WEIGHT,COASTAL_STATE_WEIGHT,CATCH_BASED_WEIGHT,CS_EQUAL_WEIGHT,CS_SOCIO_ECONOMIC_WEIGHT,SE_HDI_WEIGHT,SE_GNI_WEIGHT,SE_SID_WEIGHT,SPECIES_CODE_SELECTED,TARGET_TAC_T,HISTORICAL_CATCH_INTERVAL_START,HISTORICAL_CATCH_INTERVAL_END,HISTORICAL_CATCH_AVERAGE,ALLOCATION_TRANSITION_Y1,ALLOCATION_TRANSITION_Y2,ALLOCATION_TRANSITION_Y3,ALLOCATION_TRANSITION_Y4,ALLOCATION_TRANSITION_Y5,ALLOCATION_TRANSITION_Y6,ALLOCATION_TRANSITION_Y7,ALLOCATION_TRANSITION_Y8,ALLOCATION_TRANSITION_Y9,ALLOCATION_TRANSITION_Y10
SCENARIO 1,0.05,0.05,0.9,0.35,0.475,0.3,0.3,0.4,ALB,45000,2000,2016,period_average_catch_data,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
SCENARIO 2,0.075,0.25,0.675,0.35,0.475,0.3,0.3,0.4,ALB,45000,2000,2016,period_average_catch_data,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
SCENARIO 3,0.1,0.45,0.45,0.35,0.475,0.3,0.3,0.4,ALB,45000,2000,2016,period_average_catch_data,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
SCENARIO 4,0.05,0.05,0.9,0.35,0.475,0.3,0.3,0.4,BET,80000,2000,2016,period_average_catch_data,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
SCENARIO 5,0.075,0.25,0.675,0.35,0.475,0.3,0.3,0.4,BET,80000,2000,2016,period_average_catch_data,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
SCENARIO 6,0.1,0.45,0.45,0.35,0.475,0.3,0.3,0.4,BET,80000,2000,2016,period_average_catch_data,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
SCENARIO 7,0.05,0.05,0.9,0.35,0.475,0.3,0.3,0.4,SKJ,585000,2000,2016,period_average_catch_data,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
SCENARIO 8,0.075,0.25,0.675,0.35,0.475,0.3,0.3,0.4,SKJ,585000,2000,2016,period_average_catch_data,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
SCENARIO 9,0.1,0.45,0.45,0.35,0.475,0.3,0.3,0.4,SKJ,585000,2000,2016,period_average_catch_data,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
SCENARIO 10,0.05,0.05,0.9,0.35,0.475,0.3,0.3,0.4,SWO,30000,2000,2016,period_average_catch_data,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
SCENARIO 11,0.075,0.25,0.675,0.35,0.475,0.3,0.3,0.4,SWO,30000,2000,2016,period_average_catch_data,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
SCENARIO 12,0.1,0.45,0.45,0.35,0.475,0.3,0.3,0.4,SWO,30000,2000,2016,period_average_catch_data,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
SCENARIO 13,0.05,0.05,0.9,0.35,0.475,0.3,0.3,0.4,YFT,300000,2000,2016,period_average_catch_data,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
SCENARIO 14,0.075,0.25,0.675,0.35,0.475,0.3,0.3,0.4,YFT,300000,2000,2016,period_average_catch_data,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
SCENARIO 15,0.1,0.45,0.45,0.35,0.475,0.3,0.3,0.4,YFT,300000,2000,2016,period_average_catch_data,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
