YEAR,FLAG_CODE,FLEET_CODE,FISHERY_TYPE,FISHERY_CODE,SCHOOL_TYPE_CODE,ASSIGNED_AREA,SPECIES_CODE,CATCH_MT
1950,COM,COM,ART,HL,UNCL,NJA_COM,BET,13.61
1950,COM,COM,ART,HL,UNCL,NJA_COM,SKJ,20
1950,COM,COM,ART,HL,UNCL,NJA_COM,SWO,13.09
1950,COM,COM,ART,HL,UNCL,NJA_COM,YFT,180
1950,COM,COM,ART,TL,UNCL,NJA_COM,SWO,0.52
1950,EUR.REU,EUR,ART,HL,UNCL,NJA_EUR,ALB,3.68
1950,EUR.REU,EUR,ART,HL,UNCL,NJA_EUR,SKJ,2.95
1950,EUR.REU,EUR,ART,HL,UNCL,NJA_EUR,YFT,66.73
1950,EUR.REU,EUR,ART,TL,UNCL,NJA_EUR,ALB,2.32
1950,EUR.REU,EUR,ART,TL,UNCL,NJA_EUR,SKJ,12.05
1950,EUR.REU,EUR,ART,TL,UNCL,NJA_EUR,YFT,12.27
1950,IDN,IDN,ART,GI,UNCL,NJA_IDN,ALB,0.23
1950,IDN,IDN,ART,GI,UNCL,NJA_IDN,BET,2.19
1950,IDN,IDN,ART,GI,UNCL,NJA_IDN,SKJ,168.01
1950,IDN,IDN,ART,GI,UNCL,NJA_IDN,SWO,0.58
1950,IDN,IDN,ART,GI,UNCL,NJA_IDN,YFT,37.5
1950,IDN,IDN,ART,TL,UNCL,NJA_IDN,ALB,1.91
1950,IDN,IDN,ART,TL,UNCL,NJA_IDN,BET,2.91
1950,IDN,IDN,ART,TL,UNCL,NJA_IDN,SKJ,286.9
1950,IDN,IDN,ART,TL,UNCL,NJA_IDN,SWO,0.1
1950,IDN,IDN,ART,TL,UNCL,NJA_IDN,YFT,92.58
1950,IND,IND,ART,GI,UNCL,NJA_IND,SKJ,36.57
1950,IND,IND,ART,GI,UNCL,NJA_IND,SWO,14.95
1950,IND,IND,ART,GI,UNCL,NJA_IND,YFT,95.21
1950,IND,IND,ART,HL,UNCL,NJA_IND,SKJ,5.31
1950,IND,IND,ART,HL,UNCL,NJA_IND,SWO,12.96
1950,IND,IND,ART,HL,UNCL,NJA_IND,YFT,49.17
1950,IND,IND,ART,OT,UNCL,NJA_IND,SKJ,2.77
1950,IND,IND,ART,OT,UNCL,NJA_IND,YFT,41.07
1950,IND,IND,ART,PL,UNCL,NJA_IND,SKJ,228.2
1950,IND,IND,ART,PL,UNCL,NJA_IND,YFT,204.78
1950,IND,IND,ART,TL,UNCL,NJA_IND,SKJ,120.15
1950,IND,IND,ART,TL,UNCL,NJA_IND,SWO,1.18
1950,IND,IND,ART,TL,UNCL,NJA_IND,YFT,239.41
1950,IRN,IRN,ART,GI,UNCL,NJA_IRN,YFT,59.97
1950,IRN,IRN,IND,GI,UNCL,NJA_ARE,YFT,26.6
1950,IRN,IRN,IND,GI,UNCL,NJA_QAT,YFT,2.55
1950,IRN,IRN,IND,GI,UNCL,NJA_SAU,YFT,0.83
1950,LKA,LKA,ART,GI,UNCL,NJA_LKA,SKJ,304.1
1950,LKA,LKA,ART,GI,UNCL,NJA_LKA,YFT,130.69
1950,LKA,LKA,ART,OT,UNCL,NJA_LKA,SKJ,100.27
1950,LKA,LKA,ART,OT,UNCL,NJA_LKA,YFT,50.13
1950,LKA,LKA,ART,PL,UNCL,NJA_LKA,SKJ,772.33
1950,LKA,LKA,ART,PL,UNCL,NJA_LKA,YFT,233.47
1950,LKA,LKA,ART,TL,UNCL,NJA_LKA,SKJ,203.34
1950,LKA,LKA,ART,TL,UNCL,NJA_LKA,YFT,109.57
1950,MDG,MDG,ART,TL,UNCL,NJA_MDG,BET,2.47
