"ISO3_CODE","NAME_EN","NAME_FR","STATUS_CODE","STATUS","IS_DEVELOPING","IS_LDC","IS_SIDS","IS_COASTAL","NJA_IO_SIZE"
"ATF","France Overseas Territories","France (Territoires)","CP","Contracting Party",0,0,0,1,1995861
"AUS","Australia","Australie","CP","Contracting Party",0,0,0,1,4699280
"BGD","Bangladesh","Bangladesh","CP","Contracting Party",1,1,0,1,112459
"CHN","China","Chine","CP","Contracting Party",1,0,0,0,0
"COM","Comoros","Comores","CP","Contracting Party",1,1,1,1,165446
"EUR","European Union","Union européenne","CP","Contracting Party",0,0,0,1,660026
"GBR","United Kingdom of Great Britain and Northern Ireland","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","CP","Contracting Party",0,0,0,0,0
"IDN","Indonesia","Indonésie","CP","Contracting Party",1,0,0,1,2008835
"IND","India","Inde","CP","Contracting Party",1,0,0,1,2336540
"IRN","Iran (Islamic Republic of)","Iran (République islamique d')","CP","Contracting Party",1,0,0,1,164879
"JPN","Japan","Japon","CP","Contracting Party",1,0,0,0,0
"KEN","Kenya","Kenya","CP","Contracting Party",1,0,0,1,125058
"KOR","Republic of Korea","République de Corée","CP","Contracting Party",0,0,0,0,0
"LBR","Liberia","Libéria","CNCP","Cooperating Non-Contracting Party",1,1,0,0,0
"LKA","Sri Lanka","Sri Lanka","CP","Contracting Party",1,0,0,1,536821
"MDG","Madagascar","Madagascar","CP","Contracting Party",1,1,0,1,1199490
"MDV","Maldives","Maldives","CP","Contracting Party",1,0,1,1,930250
"MOZ","Mozambique","Mozambique","CP","Contracting Party",1,1,0,1,569001
"MUS","Mauritius","Maurice","CP","Contracting Party",1,0,1,1,1937822
"MYS","Malaysia","Malaisie","CP","Contracting Party",1,0,0,1,63326
"OMN","Oman","Oman","CP","Contracting Party",1,0,0,1,559168
"PAK","Pakistan","Pakistan","CP","Contracting Party",1,0,0,1,224364
"PAN","Panama","Panama","CNCP","Cooperating Non-Contracting Party",1,0,0,0,0
"PHL","Philippines","Philippines","CP","Contracting Party",1,0,0,0,0
"SDN","Sudan","Soudan","CP","Contracting Party",1,1,0,1,83329
"SOM","Somalia","Somalie","CP","Contracting Party",1,1,0,1,826119
"SYC","Seychelles","Seychelles","CP","Contracting Party",1,0,1,1,1350368
"TWN","Taiwan,China","Taiwan,Chine","FE","Fishing fleet",1,0,0,0,0
"THA","Thailand","Thaïlande","CP","Contracting Party",1,0,0,1,119708
"TZA","United Republic of Tanzania","République-Unie de Tanzanie","CP","Contracting Party",1,1,0,1,243142
"YEM","Yemen","Yémen","CP","Contracting Party",1,1,0,1,530315
"ZAF","South Africa","Afrique du Sud","CP","Contracting Party",1,0,0,1,1174973
